fecha,agente,demanda,respaldo,ventas,expuesto
2025-08-31,ASCC,0.98281561,0.98281561,0.0,0.0
2025-08-31,BCCC,0.00024706,0.6326469499999999,0.0,-0.63239989
2025-08-31,BEIC,0.23827329,0.41935391999999994,0.144,-0.03708062999999995
2025-08-31,BIAC,17.59534407,25.97845306,7.981695360000001,-0.4014136300000004
2025-08-31,CASC,18.2891091,15.82602324,0.0,2.4630858600000014
2025-08-31,CBNC,2.20460097,1.9781059699999999,0.0,0.2264950000000001
2025-08-31,CDNC,27.301845789999998,27.12237868,0.0,0.17946710999999738
2025-08-31,CEOC,24.39522827,23.243834539999998,0.891072,2.0424657300000035
2025-08-31,CETC,7.32848376,7.32848376,0.0,0.0
2025-08-31,CHCC,34.97796898,29.84977012,0.0,5.128198860000001
2025-08-31,CHVC,13.7686402,16.06647264,0.0,-2.2978324400000005
2025-08-31,CMMC,327.78111201999997,281.13197286,0.9677433599999999,47.61688251999993
2025-08-31,CMXC,10.69976069,10.15691185,0.0,0.5428488399999996
2025-08-31,CNSC,61.79317605000001,41.76495331,0.0,20.028222740000004
2025-08-31,CQTC,9.33708099,10.33794116,0.0,-1.0008601699999993
2025-08-31,CSIC,348.05693444999997,268.99933079000004,0.0,79.05760365999993
2025-08-31,DLRC,0.16597654,0.59249208,0.47808,0.051564460000000034
2025-08-31,DRUC,10.146061790000001,9.35874741,0.0,0.7873143800000015
2025-08-31,EBPC,2.95665302,3.11824941,0.0,-0.16159639000000015
2025-08-31,EBSC,32.28324535,25.29497223,0.0,6.988273120000002
2025-08-31,EDPC,9.10755346,8.83629243,0.0,0.2712610299999998
2025-08-31,EDQC,16.12560384,13.88641244,0.0,2.2391913999999993
2025-08-31,EEPC,30.4810871,34.72849212,6.197040980000001,1.949635960000002
2025-08-31,EGVC,2.8090596899999998,3.07231884,0.0,-0.2632591500000001
2025-08-31,EMEC,0.92148379,0.98510054,0.0,-0.06361675
2025-08-31,EMIC,111.93785942,100.35879633,0.0,11.579063089999991
2025-08-31,EMPC,0.49214656,0.42679836,0.0,0.06534820000000002
2025-08-31,EMSC,42.17952573,37.76138882,0.0,4.418136910000001
2025-08-31,ENBC,3.6624521899999998,3.3794812800000003,0.0,0.2829709099999995
2025-08-31,ENDC,514.931722,488.16678644,0.0,26.764935560000026
2025-08-31,ENIC,10.73127917,9.48788656,0.0,1.2433926100000008
2025-08-31,EPMC,416.95824289999996,382.08346618,0.0,34.87477671999994
2025-08-31,EPSC,141.28188934,145.71260049,0.0,-4.430711150000008
2025-08-31,EPTC,2.64797479,5.1734168,1.9909941,-0.5344479099999999
2025-08-31,ESOC,0.17207613,0.17207613,0.0,0.0
2025-08-31,ESSC,82.03721601000001,62.43928786,0.0,19.59792815000001
2025-08-31,ESVC,0.13059771,0.1605924,0.0,-0.02999468999999999
2025-08-31,ETTC,19.17291558,19.133825150000003,0.0,0.03909042999999812
2025-08-31,EVSC,0.45492579000000005,0.44181368,0.0,0.013112110000000066
2025-08-31,EXEC,6.76553993,6.72818483,0.0,0.037355100000000085
2025-08-31,EXIC,5.66792644,4.39382652,0.326016,1.6001159199999995
2025-08-31,FERC,2.88307591,15.55897512,10.58257598,-2.0933232299999993
2025-08-31,FREC,2.7131867,2.2761302399999996,0.0,0.4370564600000004
2025-08-31,GAPC,2.54846167,1.9417427999999999,0.0,0.6067188700000001
2025-08-31,GECC,135.74723034000002,121.46082573000001,0.0,14.286404610000005
2025-08-31,GNCC,58.520718259999995,77.02854361,23.80885186,5.30102651
2025-08-31,GNYC,0.7492236999999999,4.83289012,4.04689301,-0.03677341000000034
2025-08-31,GSAC,0.00843229,0.0,0.0,0.00843229
2025-08-31,HIMC,0.38540052,0.018674279999999998,0.0,0.36672624000000004
2025-08-31,HLAC,33.78713759,35.38803918,0.0,-1.6009015899999994
2025-08-31,ISGC,135.19769094999998,156.48,0.0,-21.28230905000001
2025-08-31,ITLC,5.199491,6.16933032,1.1612908800000001,0.19145155999999997
2025-08-31,LESC,1.5104868999999999,3.21002976,2.2269178,0.5273749400000001
2025-08-31,NEUC,16.5983158,26.089495149999998,9.27262422,-0.21855512999999505
2025-08-31,PEEC,0.08187157,12.16761072,11.356704,-0.7290351499999996
